Political Affiliation,What would you say is the likelihood that your current job will be entirely performed by robots or computers within the next decade?,"Do you believe that climate change is real and caused by people, real but not caused by people, or not real at all?",How many Transformers movies have you seen? ,Do you agree or disagree with the following statement: scientists are generally honest and are serving the public good. ,Do you agree or disagree with the following statement: vaccines are safe and protect children from disease.,"How many books, if any, have you read in the past year?",Do you believe in ghosts?,What percentage of the federal budget would you estimate is spent on scientific research?,"Is federal funding of scientific research too high, too low, or about right?",True or false: the earth is always farther away from the sun in the winter than in the summer.,"If you had to choose: would you rather be smart and sad, or dumb and happy?",Do you think it is acceptable or unacceptable to urinate in the shower?
Democrat,Unlikely,Real and Caused by People,1,Somewhat Agree,Somewhat Disagree,25,Yes,,DK/REF,TRUE,Smart and Sad,Unacceptable
Independent,Unlikely,Not Real At All,1,Strongly Agree,Strongly Agree,5,Yes,,DK/REF,DK/REF,Dumb and happy,Unacceptable
Democrat,Likely,Real and Caused by People,3,DK/REF,Somewhat Agree,2,No,35,DK/REF,FALSE,DK/REF,DK/REF
Democrat,Unlikely,Real but not Caused by People,5,Somewhat Agree,Strongly Agree,6,No,,About Right,TRUE,DK/REF,Unacceptable
Independent,Unlikely,Real and Caused by People,2,Somewhat Agree,Somewhat Agree,3,Yes,15,Too Low,TRUE,Dumb and happy,Acceptable
Independent,Likely,Real but not Caused by People,0,Somewhat Agree,Somewhat Agree,0,Yes,2,About Right,FALSE,DK/REF,Unacceptable
Democrat,Likely,Not Real At All,0,Somewhat Agree,Strongly Agree,0,No,10,About Right,TRUE,Smart and Sad,Unacceptable
DK/REF,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,12,No,10,About Right,FALSE,DK/REF,Unacceptable
Democrat,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,5,Yes,1,Too Low,TRUE,Smart and Sad,Unacceptable
Republican,Unlikely,Not Real At All,0,Somewhat Agree,Strongly Agree,30,No,,DK/REF,TRUE,Dumb and happy,DK/REF
Independent,Unlikely,Real and Caused by People,0,Somewhat Agree,Strongly Agree,1,No,50,About Right,TRUE,Dumb and happy,Unacceptable
Republican,Unlikely,Real and Caused by People,0,Somewhat Agree,Somewhat Agree,1,Yes,5,Too Low,FALSE,Smart and Sad,Unacceptable
DK/REF,DK/REF,Real and Caused by People,0,Somewhat Agree,Somewhat Agree,0,Yes,,DK/REF,FALSE,Dumb and happy,Unacceptable
Independent,Unlikely,Real but not Caused by People,0,Somewhat Agree,Strongly Agree,30,Yes,75,Too High,TRUE,Dumb and happy,Unacceptable
Independent,DK/REF,Real but not Caused by People,5,Somewhat Agree,Strongly Agree,10,No,5,Too Low,TRUE,Dumb and happy,Unacceptable
Democrat,Likely,Real but not Caused by People,2,Strongly Agree,Somewhat Agree,200,Yes,5,Too Low,TRUE,Smart and Sad,Unacceptable
Independent,Likely,Real but not Caused by People,3,Somewhat Agree,Strongly Agree,6,No,40,About Right,FALSE,Smart and Sad,Unacceptable
Republican,DK/REF,Real and Caused by People,0,Strongly Agree,Strongly Agree,7,No,,Too Low,FALSE,Dumb and happy,DK/REF
Independent,Unlikely,Real and Caused by People,4,Somewhat Disagree,Somewhat Disagree,124,Yes,,About Right,TRUE,Dumb and happy,Unacceptable
Republican,Unlikely,Real but not Caused by People,0,Somewhat Disagree,Somewhat Agree,1,No,30,Too High,TRUE,DK/REF,Unacceptable
Independent,Unlikely,Real and Caused by People,0,Somewhat Disagree,Strongly Disagree,15,No,35,About Right,TRUE,Smart and Sad,Unacceptable
Independent,Unlikely,Not Real At All,0,Strongly Disagree,Strongly Agree,8,No,1,About Right,FALSE,Dumb and happy,Unacceptable
Democrat,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,10,No,6,Too Low,TRUE,Smart and Sad,Acceptable
Independent,Unlikely,Real but not Caused by People,0,Somewhat Disagree,Strongly Agree,5,No,,Too High,TRUE,Dumb and happy,DK/REF
DK/REF,Likely,Real but not Caused by People,2,Somewhat Agree,Somewhat Agree,0,Yes,,About Right,TRUE,Smart and Sad,Unacceptable
Independent,Unlikely,Real and Caused by People,1,Strongly Agree,Somewhat Disagree,5,Yes,,Too Low,TRUE,Smart and Sad,Acceptable
Democrat,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,50,Yes,,Too Low,TRUE,Smart and Sad,Acceptable
DK/REF,Unlikely,Real but not Caused by People,1,Strongly Disagree,Somewhat Agree,10,No,50,Too High,TRUE,DK/REF,Acceptable
Independent,Unlikely,Real and Caused by People,0,Somewhat Agree,Strongly Agree,5,Yes,10,Too Low,FALSE,Dumb and happy,Acceptable
Independent,Unlikely,Real and Caused by People,3,Somewhat Agree,Somewhat Agree,1,Yes,60,Too High,TRUE,Smart and Sad,Unacceptable
Republican,Likely,Real but not Caused by People,,Somewhat Agree,Somewhat Agree,20,No,5,About Right,TRUE,Smart and Sad,Acceptable
Democrat,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,30,No,7,About Right,FALSE,Smart and Sad,Unacceptable
Independent,Unlikely,Real and Caused by People,0,Strongly Agree,Somewhat Disagree,4,No,7,About Right,FALSE,Dumb and happy,Acceptable
DK/REF,Unlikely,Real and Caused by People,4,Somewhat Agree,Somewhat Agree,20,Yes,8,Too Low,TRUE,Dumb and happy,Acceptable
Republican,Unlikely,Not Real At All,2,Somewhat Agree,Strongly Agree,4,Yes,12,About Right,FALSE,Dumb and happy,Acceptable
Republican,Likely,Not Real At All,5,Strongly Disagree,Strongly Disagree,1,Yes,69,Too High,DK/REF,Smart and Sad,Acceptable
Democrat,Unlikely,Real and Caused by People,4,Somewhat Agree,Strongly Agree,6,No,,About Right,TRUE,Smart and Sad,Acceptable
Republican,Unlikely,Real and Caused by People,2,Somewhat Agree,Somewhat Agree,0,No,,About Right,TRUE,Dumb and happy,Acceptable
Democrat,Unlikely,Real and Caused by People,2,Strongly Agree,Somewhat Agree,8,Yes,5,Too Low,FALSE,Smart and Sad,Unacceptable
Independent,Unlikely,Real and Caused by People,4,Somewhat Agree,Strongly Agree,18,No,30,About Right,TRUE,Smart and Sad,Acceptable
Independent,Unlikely,Real and Caused by People,1,Somewhat Agree,Somewhat Disagree,0,Yes,30,About Right,TRUE,Dumb and happy,Unacceptable
Republican,Unlikely,Real and Caused by People,0,Strongly Agree,Somewhat Agree,6,Yes,25,About Right,TRUE,Smart and Sad,Acceptable
Democrat,Unlikely,Real and Caused by People,2,Strongly Agree,Strongly Agree,20,No,1,Too Low,FALSE,Smart and Sad,Acceptable
Democrat,Unlikely,Real and Caused by People,2,Somewhat Agree,Somewhat Disagree,0,No,20,Too Low,TRUE,Dumb and happy,Unacceptable
DK/REF,Unlikely,Not Real At All,2,Somewhat Agree,Somewhat Agree,2,Yes,35,About Right,TRUE,Dumb and happy,Unacceptable
Independent,Unlikely,DK/REF,,Somewhat Agree,Strongly Agree,2,No,,DK/REF,TRUE,Dumb and happy,Acceptable
Democrat,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,50,No,3,Too Low,DK/REF,Smart and Sad,Acceptable
Independent,Likely,Real and Caused by People,0,Somewhat Agree,Strongly Agree,50,No,30,About Right,TRUE,Dumb and happy,Unacceptable
DK/REF,Unlikely,Not Real At All,2,Strongly Disagree,Strongly Agree,1000,Yes,60,Too High,DK/REF,Dumb and happy,Unacceptable
Republican,Likely,Not Real At All,0,Somewhat Agree,Somewhat Agree,0,No,,About Right,TRUE,Dumb and happy,Acceptable
DK/REF,Unlikely,Not Real At All,2,Somewhat Agree,Somewhat Agree,20,No,5,Too Low,FALSE,Dumb and happy,Unacceptable
Democrat,Likely,Real and Caused by People,0,Somewhat Disagree,Somewhat Agree,1,No,100,About Right,FALSE,Dumb and happy,Unacceptable
Independent,Likely,Real and Caused by People,2,DK/REF,Strongly Agree,3,No,1,Too Low,FALSE,Smart and Sad,Acceptable
Republican,Unlikely,Real and Caused by People,0,Somewhat Agree,Strongly Agree,3,No,45,About Right,TRUE,Smart and Sad,Unacceptable
Independent,Unlikely,Real and Caused by People,2,Strongly Agree,Somewhat Agree,15,Yes,1,Too Low,FALSE,Dumb and happy,Unacceptable
Independent,Unlikely,Real but not Caused by People,3,Strongly Agree,Strongly Agree,1,No,10,Too Low,FALSE,Smart and Sad,DK/REF
Republican,Unlikely,Not Real At All,5,Strongly Disagree,Strongly Agree,10,No,2,Too Low,FALSE,Dumb and happy,Acceptable
Republican,Unlikely,Not Real At All,2,Somewhat Disagree,Somewhat Agree,20,No,30,Too High,FALSE,Dumb and happy,Acceptable
Independent,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,65,Yes,10,Too Low,FALSE,Smart and Sad,Unacceptable
Independent,Unlikely,Real and Caused by People,3,Somewhat Agree,Somewhat Agree,3,No,20,Too Low,TRUE,Dumb and happy,Unacceptable
Independent,Unlikely,Real and Caused by People,1,Somewhat Disagree,Strongly Agree,150,No,20,About Right,FALSE,Dumb and happy,Unacceptable
Independent,Unlikely,Real and Caused by People,1,Somewhat Agree,Strongly Agree,12,Yes,10,Too Low,FALSE,Smart and Sad,Unacceptable
Independent,Likely,Real and Caused by People,3,DK/REF,Strongly Agree,5,Yes,,DK/REF,FALSE,Smart and Sad,Unacceptable
Independent,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,60,No,5,Too Low,FALSE,Smart and Sad,Acceptable
Republican,Unlikely,DK/REF,0,Strongly Disagree,Somewhat Agree,0,No,,DK/REF,FALSE,Smart and Sad,DK/REF
Independent,Unlikely,Real and Caused by People,2,Strongly Agree,Strongly Agree,15,No,15,Too Low,FALSE,Smart and Sad,Unacceptable
Independent,Likely,Real and Caused by People,2,Somewhat Agree,Strongly Agree,1,Yes,20,Too Low,FALSE,Dumb and happy,Acceptable
DK/REF,Unlikely,Real and Caused by People,,DK/REF,Strongly Agree,3,No,,About Right,TRUE,Dumb and happy,Unacceptable
Independent,Unlikely,Real and Caused by People,0,Strongly Agree,Somewhat Agree,12,Yes,4,Too Low,FALSE,Smart and Sad,Acceptable
Republican,Unlikely,Real but not Caused by People,1,Somewhat Agree,Strongly Agree,16,No,10,Too Low,TRUE,Smart and Sad,Acceptable
Democrat,Likely,Not Real At All,,Strongly Agree,Strongly Agree,25,No,,About Right,TRUE,Dumb and happy,Unacceptable
Republican,Unlikely,Real but not Caused by People,0,Somewhat Disagree,Somewhat Agree,3,No,2,Too High,FALSE,Dumb and happy,Unacceptable
DK/REF,Unlikely,Real and Caused by People,4,Somewhat Agree,Somewhat Disagree,12,No,,DK/REF,TRUE,Dumb and happy,Acceptable
Republican,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,35,Yes,20,About Right,FALSE,Dumb and happy,Acceptable
DK/REF,Unlikely,DK/REF,,Somewhat Agree,Strongly Agree,10,Yes,,Too High,DK/REF,Smart and Sad,Acceptable
Republican,Unlikely,Real but not Caused by People,1,Strongly Disagree,Somewhat Disagree,10,No,22,About Right,TRUE,DK/REF,DK/REF
Independent,Unlikely,Real and Caused by People,4,Strongly Agree,Strongly Agree,20,Yes,10,Too Low,DK/REF,Dumb and happy,Acceptable
DK/REF,Unlikely,Real and Caused by People,2,Neither Agree nor Disagree,Neither Agree nor Disagree,,No,,DK/REF,TRUE,DK/REF,Unacceptable
Democrat,Unlikely,Not Real At All,,Strongly Disagree,Strongly Agree,2,Yes,,Too Low,DK/REF,Dumb and happy,Acceptable
Republican,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,7,No,3,About Right,FALSE,Dumb and happy,DK/REF
Independent,Unlikely,DK/REF,1,Strongly Agree,Strongly Agree,20,No,15,About Right,FALSE,Dumb and happy,Acceptable
Democrat,Unlikely,Real and Caused by People,0,Somewhat Agree,Strongly Agree,10,Yes,10,About Right,FALSE,Dumb and happy,Acceptable
Republican,Unlikely,Not Real At All,0,Somewhat Agree,DK/REF,4,No,,About Right,TRUE,Smart and Sad,Acceptable
Republican,Unlikely,Real but not Caused by People,1,Somewhat Agree,Strongly Agree,3,Yes,35,About Right,FALSE,Smart and Sad,Unacceptable
Democrat,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,60,No,13,Too Low,FALSE,Smart and Sad,Unacceptable
Democrat,Likely,Real and Caused by People,1,Strongly Agree,Strongly Agree,20,No,,About Right,TRUE,Dumb and happy,Unacceptable
DK/REF,Unlikely,Real and Caused by People,3,DK/REF,DK/REF,5,No,,DK/REF,FALSE,DK/REF,DK/REF
Republican,Unlikely,Real but not Caused by People,2,Strongly Disagree,Somewhat Disagree,4,Yes,2,Too High,FALSE,Smart and Sad,Unacceptable
Republican,Unlikely,Not Real At All,0,Strongly Disagree,Somewhat Agree,1,No,5,Too High,FALSE,Dumb and happy,Unacceptable
Democrat,Unlikely,Real and Caused by People,2,Strongly Agree,Strongly Agree,2,Yes,,DK/REF,TRUE,Smart and Sad,Unacceptable
Independent,DK/REF,Real and Caused by People,3,Strongly Agree,Strongly Agree,0,Yes,5,DK/REF,TRUE,Smart and Sad,Acceptable
Republican,Unlikely,Not Real At All,0,Somewhat Disagree,Somewhat Agree,5,No,18,DK/REF,FALSE,DK/REF,DK/REF
Independent,Likely,Real and Caused by People,0,Somewhat Agree,Strongly Agree,0,Yes,,DK/REF,DK/REF,Smart and Sad,Unacceptable
DK/REF,Unlikely,Real and Caused by People,2,Somewhat Agree,Strongly Agree,2,Yes,60,About Right,TRUE,Dumb and happy,Unacceptable
Independent,Unlikely,Not Real At All,1,Strongly Disagree,DK/REF,1,No,0,Too High,TRUE,DK/REF,DK/REF
Independent,Likely,Real and Caused by People,0,Somewhat Agree,Somewhat Agree,1,Yes,85,About Right,TRUE,Dumb and happy,Acceptable
Independent,Unlikely,Real but not Caused by People,1,Somewhat Agree,Strongly Agree,10,Yes,1,Too Low,FALSE,Dumb and happy,Acceptable
Independent,Likely,Real and Caused by People,0,Strongly Agree,Strongly Agree,8,No,40,Too High,FALSE,Dumb and happy,Acceptable
Independent,Unlikely,Not Real At All,0,DK/REF,Somewhat Agree,,Yes,,DK/REF,DK/REF,Dumb and happy,DK/REF
DK/REF,Unlikely,Real and Caused by People,0,Somewhat Agree,Strongly Agree,50,Yes,,Too Low,TRUE,Smart and Sad,Unacceptable
Independent,Unlikely,Real and Caused by People,1,Strongly Agree,Strongly Agree,50,No,5,About Right,TRUE,Smart and Sad,Unacceptable
Democrat,Unlikely,Real and Caused by People,5,Strongly Agree,Strongly Agree,8,Yes,20,Too Low,FALSE,Dumb and happy,Acceptable
Democrat,Unlikely,Real and Caused by People,4,Strongly Agree,Strongly Agree,6,Yes,10,About Right,TRUE,Dumb and happy,Acceptable
Democrat,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,20,Yes,5,Too Low,TRUE,Dumb and happy,Unacceptable
DK/REF,Unlikely,Real but not Caused by People,0,Somewhat Agree,Somewhat Agree,10,No,,Too High,TRUE,Dumb and happy,Unacceptable
Independent,Unlikely,Real and Caused by People,3,Strongly Agree,Somewhat Agree,24,Yes,9,Too Low,TRUE,Smart and Sad,Acceptable
Independent,Unlikely,Real and Caused by People,1,Somewhat Agree,Strongly Agree,6,No,,DK/REF,TRUE,Smart and Sad,Unacceptable
DK/REF,Unlikely,Real but not Caused by People,4,Somewhat Agree,Neither Agree nor Disagree,15,DK/REF,1,Too Low,FALSE,Dumb and happy,Acceptable
DK/REF,Likely,Real and Caused by People,0,Strongly Agree,Somewhat Agree,,DK/REF,,DK/REF,TRUE,DK/REF,Unacceptable
Democrat,DK/REF,Real and Caused by People,,Strongly Disagree,Somewhat Agree,100,Yes,60,Too High,TRUE,Smart and Sad,Unacceptable
Independent,Likely,Real and Caused by People,0,Somewhat Agree,Strongly Agree,5,No,,Too High,TRUE,Dumb and happy,Unacceptable
Republican,Unlikely,Real but not Caused by People,0,Somewhat Agree,Strongly Agree,2,No,5,About Right,DK/REF,Dumb and happy,Acceptable
Independent,Likely,Real and Caused by People,2,Somewhat Agree,Strongly Agree,20,No,30,Too Low,TRUE,Smart and Sad,Acceptable
Republican,Unlikely,Real and Caused by People,2,Somewhat Agree,Somewhat Agree,15,Yes,20,About Right,TRUE,Smart and Sad,Unacceptable
Democrat,Likely,Real and Caused by People,0,Strongly Disagree,Somewhat Disagree,2,No,30,About Right,FALSE,Dumb and happy,Unacceptable
Independent,Unlikely,Real but not Caused by People,2,Somewhat Agree,Strongly Agree,2,No,5,Too Low,TRUE,Dumb and happy,Unacceptable
Republican,Unlikely,Real but not Caused by People,3,Somewhat Agree,Strongly Agree,25,No,5,Too High,DK/REF,Dumb and happy,Unacceptable
Republican,Likely,Real but not Caused by People,1,Strongly Disagree,Somewhat Agree,24,No,5,About Right,FALSE,Smart and Sad,Acceptable
Democrat,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,3,No,1,Too Low,TRUE,Smart and Sad,Acceptable
Republican,Likely,Real and Caused by People,0,Strongly Agree,Strongly Agree,3,No,40,About Right,DK/REF,Dumb and happy,Unacceptable
Democrat,Unlikely,Real and Caused by People,0,Somewhat Agree,Strongly Agree,5,Yes,10,Too Low,FALSE,Dumb and happy,Unacceptable
Democrat,Unlikely,DK/REF,0,Strongly Agree,Somewhat Disagree,0,Yes,10,DK/REF,TRUE,Dumb and happy,Unacceptable
DK/REF,Unlikely,Not Real At All,0,DK/REF,DK/REF,12,No,,DK/REF,TRUE,DK/REF,Unacceptable
Democrat,Unlikely,Real and Caused by People,3,Strongly Agree,Strongly Agree,3,No,5,Too Low,FALSE,Dumb and happy,Acceptable
Independent,Likely,Real and Caused by People,2,Somewhat Agree,Strongly Agree,15,Yes,,Too Low,DK/REF,DK/REF,Acceptable
Democrat,Unlikely,Real but not Caused by People,3,Strongly Agree,Strongly Agree,0,No,25,About Right,DK/REF,DK/REF,Unacceptable
Republican,Unlikely,Real and Caused by People,0,Somewhat Agree,Strongly Agree,125,No,20,Too Low,TRUE,Smart and Sad,Acceptable
DK/REF,DK/REF,DK/REF,0,DK/REF,DK/REF,,No,,Too Low,TRUE,Smart and Sad,DK/REF
DK/REF,Unlikely,Real but not Caused by People,,Strongly Agree,Strongly Disagree,10,No,,Too Low,TRUE,Smart and Sad,Acceptable
Independent,Unlikely,DK/REF,1,Strongly Agree,Strongly Agree,3,No,1,Too Low,FALSE,Smart and Sad,Unacceptable
Democrat,Unlikely,Not Real At All,0,Somewhat Agree,Somewhat Agree,5,No,50,Too High,TRUE,Dumb and happy,Unacceptable
Democrat,Unlikely,Real but not Caused by People,2,Somewhat Agree,Strongly Agree,0,No,33,Too Low,TRUE,Dumb and happy,Acceptable
Democrat,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,3,Yes,,Too Low,FALSE,Dumb and happy,Unacceptable
Republican,Unlikely,Real but not Caused by People,2,DK/REF,Strongly Agree,5,No,1,Too Low,FALSE,Dumb and happy,DK/REF
Democrat,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,20,No,10,Too Low,TRUE,Smart and Sad,Unacceptable
DK/REF,Likely,Real and Caused by People,3,Strongly Agree,Somewhat Agree,50,Yes,,About Right,TRUE,Smart and Sad,Unacceptable
Republican,Unlikely,Real and Caused by People,0,Somewhat Agree,Strongly Agree,60,Yes,,Too Low,TRUE,Dumb and happy,Unacceptable
Independent,Unlikely,Real and Caused by People,0,Strongly Disagree,Strongly Agree,20,No,15,About Right,FALSE,Dumb and happy,Unacceptable
DK/REF,Unlikely,Real and Caused by People,2,Strongly Agree,Somewhat Agree,3,Yes,2,About Right,TRUE,DK/REF,Acceptable
Independent,Likely,Real and Caused by People,1,Strongly Agree,Strongly Agree,20,No,2,Too Low,FALSE,Smart and Sad,Unacceptable
DK/REF,Unlikely,DK/REF,5,Neither Agree nor Disagree,Somewhat Agree,,No,5,Too Low,FALSE,Smart and Sad,Acceptable
Republican,Unlikely,Not Real At All,0,Somewhat Disagree,Strongly Agree,0,No,35,About Right,FALSE,Dumb and happy,Unacceptable
Democrat,Likely,Real and Caused by People,3,Strongly Agree,Strongly Agree,15,No,10,Too Low,TRUE,Dumb and happy,Unacceptable
Republican,Unlikely,Not Real At All,2,Strongly Agree,Strongly Agree,2,Yes,75,About Right,TRUE,Dumb and happy,Unacceptable
Independent,Unlikely,Real and Caused by People,1,Strongly Agree,Strongly Agree,30,No,,DK/REF,FALSE,Dumb and happy,Acceptable
Independent,Unlikely,DK/REF,3,Strongly Disagree,Somewhat Agree,0,No,25,Too High,TRUE,Dumb and happy,Acceptable
Democrat,Unlikely,Real and Caused by People,2,Strongly Agree,Somewhat Agree,0,Yes,,About Right,DK/REF,Smart and Sad,Acceptable
Democrat,Unlikely,Real but not Caused by People,3,Somewhat Disagree,Strongly Agree,2,Yes,15,Too Low,TRUE,Dumb and happy,Unacceptable
Democrat,Likely,Real but not Caused by People,0,Strongly Agree,Somewhat Disagree,10,No,50,About Right,TRUE,Smart and Sad,Unacceptable
DK/REF,Likely,Not Real At All,5,Strongly Disagree,Somewhat Agree,2,No,50,Too High,TRUE,Dumb and happy,Unacceptable
Independent,Unlikely,DK/REF,0,Strongly Agree,Strongly Agree,50,No,10,Too Low,FALSE,Smart and Sad,Acceptable
Democrat,Likely,Real and Caused by People,2,Somewhat Agree,Strongly Agree,50,Yes,,About Right,TRUE,Dumb and happy,Unacceptable
Independent,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,20,No,1,Too Low,FALSE,Dumb and happy,Unacceptable
Independent,DK/REF,Real and Caused by People,1,Somewhat Agree,Strongly Agree,5,No,5,Too Low,TRUE,Smart and Sad,Acceptable
DK/REF,Unlikely,Not Real At All,,Strongly Disagree,Strongly Disagree,0,No,,DK/REF,DK/REF,Smart and Sad,Acceptable
Independent,Unlikely,Real and Caused by People,3,Strongly Agree,Somewhat Agree,5,No,,About Right,FALSE,Smart and Sad,Unacceptable
Independent,Unlikely,Not Real At All,0,Strongly Disagree,Somewhat Agree,0,Yes,0,About Right,TRUE,Smart and Sad,Acceptable
DK/REF,Unlikely,DK/REF,,DK/REF,DK/REF,8,Yes,,DK/REF,TRUE,DK/REF,DK/REF
DK/REF,Unlikely,Real and Caused by People,,DK/REF,Strongly Agree,10,No,,Too High,TRUE,Dumb and happy,Unacceptable
DK/REF,Unlikely,Real but not Caused by People,2,Somewhat Agree,Strongly Agree,25,No,20,About Right,FALSE,Smart and Sad,Unacceptable
Democrat,Unlikely,Real and Caused by People,0,Somewhat Agree,Strongly Agree,2,No,,DK/REF,FALSE,Dumb and happy,Unacceptable
DK/REF,Unlikely,Real and Caused by People,0,DK/REF,Strongly Agree,3,No,,DK/REF,TRUE,Smart and Sad,Unacceptable
Independent,Unlikely,Real and Caused by People,0,Somewhat Agree,Strongly Agree,2,Yes,5,DK/REF,TRUE,Smart and Sad,Unacceptable
Independent,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,2,DK/REF,75,About Right,TRUE,Smart and Sad,Acceptable
Republican,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,5,No,,DK/REF,TRUE,DK/REF,Unacceptable
Independent,Unlikely,Real and Caused by People,0,Strongly Agree,DK/REF,12,No,,Too Low,TRUE,DK/REF,DK/REF
Independent,Unlikely,Not Real At All,0,Somewhat Disagree,Somewhat Agree,150,Yes,,Too High,FALSE,DK/REF,Unacceptable
Democrat,Unlikely,Real and Caused by People,0,Somewhat Agree,Strongly Agree,6,No,60,About Right,TRUE,Smart and Sad,Unacceptable
Republican,Unlikely,Real and Caused by People,0,Strongly Disagree,Strongly Agree,3,No,80,About Right,TRUE,Dumb and happy,Acceptable
DK/REF,Unlikely,DK/REF,0,Somewhat Agree,Strongly Agree,20,Yes,,About Right,TRUE,DK/REF,Unacceptable
Independent,DK/REF,Real but not Caused by People,1,Somewhat Agree,Strongly Agree,2,No,20,About Right,FALSE,Smart and Sad,Acceptable
Independent,Unlikely,Real and Caused by People,1,Strongly Agree,Strongly Agree,6,DK/REF,2,Too Low,FALSE,Smart and Sad,Acceptable
